Unet_final,Unet_final_coupe
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9998779296875
0.0,0.0
0.0,0.0
0.0,0.011627906976744186
0.20491803278688525,0.0
0.736,0.0
0.8705882352941177,0.72
0.8702702702702703,0.7313432835820896
0.7348837209302326,0.7268518518518519
0.654275092936803,0.5427509293680297
0.6376306620209059,0.573943661971831
0.48484848484848486,0.38333333333333336
0.3918269230769231,0.32439024390243903
0.30385487528344673,0.05045871559633028
0.0,0.07093821510297482
0.23423423423423423,0.01126126126126126
0.0,0.0640176600441501
0.05844155844155844,0.006507592190889371
0.1416490486257928,0.20930232558139536
0.24737945492662475,0.1949685534591195
0.2541176470588235,0.25471698113207547
0.22194513715710723,0.21975308641975308
0.17297297297297298,0.15945945945945947
0.02040816326530612,0.0
0.3170731707317073,0.05521472392638037
0.5540540540540541,0.125
0.6577181208053692,0.2857142857142857
0.624561403508772,0.27986348122866894
0.5808823529411765,0.43686006825938567
0.5019762845849802,0.6653696498054474
0.35807860262008734,0.5780590717299579
0.20603015075376885,0.3434343434343434
0.0,0.22033898305084745
0.0,0.25280898876404495
0.0,0.29245283018867924
0.0,0.26804123711340205
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.14495412844036698,0.07326007326007326
0.12754158964879853,0.08073394495412844
0.4484732824427481,0.1839080459770115
0.6432337434094904,0.4823943661971831
0.7508771929824561,0.6344463971880492
0.68,0.5851851851851851
0.6496212121212122,0.6131386861313869
0.6902985074626866,0.6977611940298507
0.575139146567718,0.4934579439252336
0.5357142857142857,0.5691202872531418
0.3851851851851852,0.5321100917431193
0.32040816326530613,0.3191919191919192
0.4434589800443459,0.4768211920529801
0.503562945368171,0.458628841607565
0.5778364116094987,0.49868073878627966
0.554089709762533,0.5013192612137203
0.723943661971831,0.61731843575419
0.8243727598566308,0.75177304964539
0.8359375,0.5625
0.74609375,0.3031496062992126
0.45660377358490567,0.14772727272727273
0.0,0.0
0.46116504854368934,0.504950495049505
0.49222797927461137,0.4873096446700508
0.5705882352941176,0.5689655172413793
0.5771144278606966,0.5490196078431373
0.48917748917748916,0.4808510638297872
0.5,0.411522633744856
0.3010752688172043,0.43523316062176165
0.0,0.32919254658385094
0.0,0.0
0.0,0.0
0.99981689453125,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9996337890625
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
